,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.7698170731707317,2025-11-07 21:49:07.428856,2025-11-07 21:49:42.596160,0 days 00:00:35.167304,1,0.04777459960438102,0.46250185093081636,1,2,0.17178671160360948,1,COMPLETE
1,1,0.7942073170731707,2025-11-07 21:49:42.596160,2025-11-07 21:50:16.444458,0 days 00:00:33.848298,3,0.36795793662035464,0.2477340379809821,1,2,0.3922126744045578,3,COMPLETE
2,2,0.7698170731707317,2025-11-07 21:50:16.445448,2025-11-07 21:51:25.607500,0 days 00:01:09.162052,1,0.21757959123876042,0.12183575713772132,5,6,0.19191995427088532,3,COMPLETE
3,3,0.7378048780487805,2025-11-07 21:51:25.608501,2025-11-07 21:52:34.973478,0 days 00:01:09.364977,1,0.3186872822661443,0.3054371470771224,5,6,0.465009276100955,5,COMPLETE
4,4,0.7774390243902439,2025-11-07 21:52:34.974477,2025-11-07 21:53:54.460997,0 days 00:01:19.486520,3,0.3558479249361283,0.4436670929462033,1,7,0.13400431840237143,5,COMPLETE
5,5,0.7774390243902439,2025-11-07 21:53:54.461998,2025-11-07 21:54:18.545192,0 days 00:00:24.083194,3,0.43366551396261566,0.3979073165563402,1,1,0.4585904585699433,5,COMPLETE
6,6,0.801829268292683,2025-11-07 21:54:18.546194,2025-11-07 21:55:29.826572,0 days 00:01:11.280378,3,0.06542898336262964,0.15015837690903022,1,6,0.16114076066232147,1,COMPLETE
7,7,0.788109756097561,2025-11-07 21:55:29.826572,2025-11-07 21:56:03.987148,0 days 00:00:34.160576,1,0.3753227374142719,0.02801364611483459,3,2,0.43710293589341953,5,COMPLETE
8,8,0.8033536585365854,2025-11-07 21:56:03.987148,2025-11-07 21:57:36.304573,0 days 00:01:32.317425,1,0.06366737090309244,0.22760317422346432,1,8,0.3131715597351112,1,COMPLETE
9,9,0.8094512195121951,2025-11-07 21:57:36.305573,2025-11-07 21:59:06.298067,0 days 00:01:29.992494,3,0.4605674609730842,0.49951621736107044,1,8,0.27289840025683665,1,COMPLETE
10,10,0.7820121951219512,2025-11-07 21:59:06.298067,2025-11-07 21:59:58.864758,0 days 00:00:52.566691,5,0.47530721357230743,0.3459932199617325,3,4,0.29992122339734734,1,COMPLETE
11,11,0.7652439024390244,2025-11-07 21:59:58.864758,2025-11-07 22:01:25.854845,0 days 00:01:26.990087,5,0.18722417758111456,0.23461335731104033,3,8,0.3099042778869495,1,COMPLETE
12,12,0.788109756097561,2025-11-07 22:01:25.854845,2025-11-07 22:02:52.804518,0 days 00:01:26.949673,5,0.13670442293021842,0.1584847471572265,1,8,0.27506214136464346,3,COMPLETE
13,13,0.7774390243902439,2025-11-07 22:02:52.805266,2025-11-07 22:03:45.760701,0 days 00:00:52.955435,1,0.2731149469363706,0.32324035638062376,3,4,0.06934988378077389,1,COMPLETE
14,14,0.7698170731707317,2025-11-07 22:03:45.760701,2025-11-07 22:05:15.658915,0 days 00:01:29.898214,3,0.0006503592943517822,0.0004974689627184614,1,8,0.365696328773359,1,COMPLETE
15,15,0.7926829268292683,2025-11-07 22:05:15.658915,2025-11-07 22:06:35.403177,0 days 00:01:19.744262,1,0.1635417578289849,0.20252797135737005,3,7,0.22506303940716801,3,COMPLETE
16,16,0.7926829268292683,2025-11-07 22:06:35.404186,2025-11-07 22:07:36.849658,0 days 00:01:01.445472,5,0.4948199220071765,0.48830993894503555,1,5,0.35152074360696234,1,COMPLETE
17,17,0.7560975609756098,2025-11-07 22:07:36.850660,2025-11-07 22:08:53.230910,0 days 00:01:16.380250,3,0.1045382325454581,0.3909382381947437,5,7,0.0016753233189076844,3,COMPLETE
18,18,0.7911585365853658,2025-11-07 22:08:53.230910,2025-11-07 22:09:55.322914,0 days 00:01:02.092004,3,0.2437707417432899,0.08186408342355209,1,5,0.24630598076923974,1,COMPLETE
19,19,0.7774390243902439,2025-11-07 22:09:55.323924,2025-11-07 22:11:24.859069,0 days 00:01:29.535145,1,0.28749212478415176,0.28310254716921784,3,8,0.3292649975440263,1,COMPLETE
