,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.788109756097561,2025-12-23 14:20:32.337578,2025-12-23 14:22:25.233510,0 days 00:01:52.895932,2,0.22866475976262862,0.4700014807446531,1,3,0.2030720269621657,1,COMPLETE
1,1,0.7454268292682927,2025-12-23 14:22:25.234508,2025-12-23 14:24:10.552759,0 days 00:01:45.318251,4,0.42077476197221275,0.2981872303847857,1,3,0.3353276046427347,3,COMPLETE
2,2,0.7576219512195121,2025-12-23 14:24:10.553764,2025-12-23 14:26:17.111459,0 days 00:02:06.557695,2,0.33054775474325626,0.19746860571017708,3,6,0.2151519725625312,3,COMPLETE
3,3,0.7698170731707317,2025-12-23 14:26:17.111986,2025-12-23 14:28:24.560464,0 days 00:02:07.448478,2,0.3912123693596866,0.3443497176616979,3,6,0.3790055656605731,5,COMPLETE
4,4,0.7972560975609756,2025-12-23 14:28:24.560464,2025-12-23 14:30:22.594003,0 days 00:01:58.033539,4,0.413508754961677,0.45493367435696264,1,7,0.18040259104142287,5,COMPLETE
5,5,0.7896341463414634,2025-12-23 14:30:22.595508,2025-12-23 14:31:37.580861,0 days 00:01:14.985353,4,0.4601993083775694,0.4183258532450722,1,2,0.375154275141966,5,COMPLETE
6,6,0.7972560975609756,2025-12-23 14:31:37.580861,2025-12-23 14:33:23.019989,0 days 00:01:45.439128,4,0.2392573900175778,0.2201267015272242,1,6,0.1966844563973929,1,COMPLETE
7,7,0.8079268292682927,2025-12-23 14:33:23.019989,2025-12-23 14:34:45.414065,0 days 00:01:22.394076,2,0.42519364244856317,0.12241091689186767,1,3,0.3622617615360517,5,COMPLETE
8,8,0.7926829268292683,2025-12-23 14:34:45.415063,2025-12-23 14:36:47.192565,0 days 00:02:01.777502,2,0.23820042254185547,0.2820825393787715,1,8,0.28790293584106674,1,COMPLETE
9,9,0.788109756097561,2025-12-23 14:36:47.193565,2025-12-23 14:38:47.797063,0 days 00:02:00.603498,4,0.47634047658385054,0.4996129738888564,1,8,0.263739040154102,1,COMPLETE
