,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
11,11,0.7713414634146342,2025-12-22 22:50:37.193176,2025-12-22 22:55:23.353669,0 days 00:04:46.160493,6,0.4927635482186784,0.49902929631341203,1,4,0.2624505338823092,3,COMPLETE
12,12,0.774390243902439,2025-12-22 22:55:23.353669,2025-12-22 23:01:46.738798,0 days 00:06:23.385129,4,0.33436301433359905,0.4165300864550201,1,8,0.13675087344165535,1,COMPLETE
13,13,0.774390243902439,2025-12-22 23:01:46.738798,2025-12-22 23:06:48.919172,0 days 00:05:02.180374,4,0.4543819155020025,0.39576904396449497,1,5,0.3988249624790302,3,COMPLETE
14,14,0.7637195121951219,2025-12-22 23:06:48.920175,2025-12-22 23:10:49.792390,0 days 00:04:00.872215,6,0.3703001531446794,0.4339873709940084,3,2,0.10948792077861344,3,COMPLETE
15,15,0.7682926829268293,2025-12-22 23:10:49.792390,2025-12-22 23:15:30.572850,0 days 00:04:40.780460,4,0.45471507196843003,0.34847822881478235,1,4,0.32292049699331155,5,COMPLETE
16,16,0.7804878048780488,2025-12-22 23:15:30.573850,2025-12-22 23:21:34.585438,0 days 00:06:04.011588,4,0.2990297273918233,0.4988601610009105,1,7,0.24423247766812506,1,COMPLETE
17,17,0.7332317073170732,2025-12-22 23:21:34.585438,2025-12-22 23:26:37.082065,0 days 00:05:02.496627,6,0.4594681789101726,0.3568904901104553,3,5,0.35130416301356904,3,COMPLETE
18,18,0.7835365853658537,2025-12-22 23:26:37.083065,2025-12-22 23:31:19.996602,0 days 00:04:42.913537,6,0.2900517886084547,0.4530414687626177,1,4,0.2794522946302382,5,COMPLETE
19,19,0.7774390243902439,2025-12-22 23:31:19.996602,2025-12-22 23:37:26.850060,0 days 00:06:06.853458,4,0.49009481808822947,0.37575612331120406,1,7,0.15857828257287582,1,COMPLETE
20,20,0.7728658536585366,2025-12-22 23:37:26.851060,2025-12-22 23:41:24.305156,0 days 00:03:57.454096,4,0.38032608014981506,0.26000238936664,3,2,0.23683880364974863,3,COMPLETE
21,21,0.7835365853658537,2025-12-22 23:41:24.305156,2025-12-22 23:47:22.643166,0 days 00:05:58.338010,4,0.41859673941249426,0.4532828744413638,1,7,0.174409751529972,5,COMPLETE
22,22,0.7926829268292683,2025-12-22 23:47:22.643166,2025-12-22 23:53:46.113493,0 days 00:06:23.470327,4,0.4401455944953415,0.47193224597698613,1,8,0.10383543698534416,5,COMPLETE
23,23,0.7865853658536586,2025-12-22 23:53:46.114496,2025-12-22 23:59:45.415951,0 days 00:05:59.301455,4,0.3982660813718159,0.42610059044450216,1,7,0.17326806697164368,5,COMPLETE
24,24,0.7911585365853658,2025-12-22 23:59:45.415951,2025-12-23 00:06:12.051664,0 days 00:06:26.635713,4,0.47443118329431805,0.4885659683837745,1,8,0.23011004825811468,5,COMPLETE
25,25,0.7820121951219512,2025-12-23 00:06:12.051664,2025-12-23 00:11:16.277669,0 days 00:05:04.226005,4,0.40925632567334713,0.41795792643686625,1,5,0.1409399050674231,5,COMPLETE
26,26,0.7957317073170732,2025-12-23 00:11:16.277669,2025-12-23 00:17:11.175118,0 days 00:05:54.897449,6,0.43904895084504614,0.3243699747390268,1,7,0.26349247169873385,3,COMPLETE
27,27,0.8003048780487805,2025-12-23 00:17:11.175783,2025-12-23 00:22:37.920480,0 days 00:05:26.744697,6,0.44055271606936663,0.3267727250276115,1,6,0.30494383914284634,1,COMPLETE
28,28,0.7774390243902439,2025-12-23 00:22:37.921480,2025-12-23 00:28:03.394185,0 days 00:05:25.472705,6,0.3656713745999738,0.3140230762258092,1,6,0.3051499925884118,3,COMPLETE
29,29,0.7789634146341463,2025-12-23 00:28:03.394185,2025-12-23 00:33:02.153566,0 days 00:04:58.759381,6,0.43693928895098666,0.32439175269192727,1,5,0.3374460614275123,1,COMPLETE
30,30,0.7774390243902439,2025-12-23 00:33:02.154566,2025-12-23 00:38:25.618788,0 days 00:05:23.464222,6,0.44245846007280565,0.2501270123513831,1,6,0.3811289010949071,3,COMPLETE
31,31,0.7957317073170732,2025-12-23 00:38:25.618788,2025-12-23 00:44:17.086499,0 days 00:05:51.467711,6,0.47285914214418484,0.3701505223372912,1,7,0.2776842352796545,1,COMPLETE
32,32,0.7942073170731707,2025-12-23 00:44:17.087498,2025-12-23 00:50:09.284252,0 days 00:05:52.196754,6,0.4641127396907441,0.3706626512779255,1,7,0.3076603102000643,1,COMPLETE
33,33,0.7804878048780488,2025-12-23 00:50:09.284252,2025-12-23 00:55:36.702705,0 days 00:05:27.418453,6,0.494688219738501,0.32672930427799285,1,6,0.2836083885049721,1,COMPLETE
34,34,0.7759146341463414,2025-12-23 00:55:36.702705,2025-12-23 01:01:28.631790,0 days 00:05:51.929085,6,0.436962205192201,0.2764580393588391,1,7,0.21487727435873924,1,COMPLETE
35,35,0.7560975609756098,2025-12-23 01:01:28.631790,2025-12-23 01:06:55.399922,0 days 00:05:26.768132,6,0.39507548096746353,0.29538020791265995,1,6,0.2617010657517772,3,COMPLETE
36,36,0.7942073170731707,2025-12-23 01:06:55.399922,2025-12-23 01:11:37.544273,0 days 00:04:42.144351,6,0.47035023801628095,0.3972797574261903,1,4,0.3277168794394852,1,COMPLETE
37,37,0.739329268292683,2025-12-23 01:11:37.544273,2025-12-23 01:17:33.294750,0 days 00:05:55.750477,2,0.4202002097140438,0.335999863752657,3,7,0.34603230908997173,3,COMPLETE
38,38,0.7911585365853658,2025-12-23 01:17:33.297748,2025-12-23 01:21:47.201783,0 days 00:04:13.904035,6,0.44840675081698766,0.1795368252338686,1,3,0.36202832461611023,1,COMPLETE
39,39,0.7987804878048781,2025-12-23 01:21:47.202783,2025-12-23 01:27:16.972148,0 days 00:05:29.769365,6,0.34293908529172223,0.36919442934287355,1,6,0.2939024056504623,1,COMPLETE
40,40,0.7911585365853658,2025-12-23 01:27:16.973147,2025-12-23 01:32:25.545842,0 days 00:05:08.572695,2,0.34713915487903946,0.3065834874614581,1,5,0.29580432949636815,3,COMPLETE
41,41,0.7896341463414634,2025-12-23 01:32:25.546849,2025-12-23 01:37:54.723227,0 days 00:05:29.176378,6,0.32158420024431494,0.3717095802886643,1,6,0.2724651866743269,1,COMPLETE
42,42,0.788109756097561,2025-12-23 01:37:54.724225,2025-12-23 01:43:27.481922,0 days 00:05:32.757697,6,0.35900532329263135,0.3561415925216559,1,6,0.3189719776201617,1,COMPLETE
43,43,0.7911585365853658,2025-12-23 01:43:27.481922,2025-12-23 01:48:57.366332,0 days 00:05:29.884410,6,0.2706229947480223,0.39680506985672015,1,6,0.253483854858936,1,COMPLETE
44,44,0.7682926829268293,2025-12-23 01:48:57.366332,2025-12-23 01:54:56.024620,0 days 00:05:58.658288,6,0.2002640310453845,0.34021494554325976,1,7,0.2162612009453735,1,COMPLETE
45,45,0.7972560975609756,2025-12-23 01:54:56.024620,2025-12-23 02:00:26.662181,0 days 00:05:30.637561,6,0.47773680068679697,0.28760494494594124,1,6,0.2991937267881299,1,COMPLETE
46,46,0.7774390243902439,2025-12-23 02:00:26.663180,2025-12-23 02:05:56.659528,0 days 00:05:29.996348,6,0.4991001156782554,0.22436946395295793,1,6,0.2976253263733644,1,COMPLETE
47,47,0.7896341463414634,2025-12-23 02:05:56.660527,2025-12-23 02:11:02.406621,0 days 00:05:05.746094,6,0.42943513685831886,0.2896888247175262,1,5,0.38160854322313303,1,COMPLETE
48,48,0.7545731707317073,2025-12-23 02:11:02.406621,2025-12-23 02:16:02.596592,0 days 00:05:00.189971,6,0.3791584178190419,0.2685499322777939,1,5,0.3207855545580766,3,COMPLETE
49,49,0.7728658536585366,2025-12-23 02:16:02.596592,2025-12-23 02:20:19.552534,0 days 00:04:16.955942,6,0.40701830104747644,0.24029858217044198,1,3,0.3675688147452318,1,COMPLETE
