,number,value,datetime_start,datetime_complete,duration,params_a_kernel_size,params_attn_dropout,params_embed_dropout,params_l_kernel_size,params_multimodal_layers,params_out_dropout,params_v_kernel_size,state
0,0,0.7698170731707317,2025-12-22 22:01:51.921896,2025-12-22 22:04:30.564649,0 days 00:02:38.642753,2,0.22866475976262862,0.4700014807446531,1,3,0.2030720269621657,1,COMPLETE
1,1,0.7835365853658537,2025-12-22 22:04:30.565172,2025-12-22 22:07:52.024721,0 days 00:03:21.459549,4,0.42077476197221275,0.2981872303847857,1,3,0.3353276046427347,3,COMPLETE
2,2,0.7682926829268293,2025-12-22 22:07:52.024721,2025-12-22 22:12:15.424404,0 days 00:04:23.399683,2,0.33054775474325626,0.19746860571017708,3,6,0.2151519725625312,3,COMPLETE
3,3,0.760670731707317,2025-12-22 22:12:15.424404,2025-12-22 22:16:33.792481,0 days 00:04:18.368077,2,0.3912123693596866,0.3443497176616979,3,6,0.3790055656605731,5,COMPLETE
4,4,0.7926829268292683,2025-12-22 22:16:33.792481,2025-12-22 22:21:30.521297,0 days 00:04:56.728816,4,0.413508754961677,0.45493367435696264,1,7,0.18040259104142287,5,COMPLETE
5,5,0.8033536585365854,2025-12-22 22:21:30.521297,2025-12-22 22:24:41.786267,0 days 00:03:11.264970,4,0.4601993083775694,0.4183258532450722,1,2,0.375154275141966,5,COMPLETE
6,6,0.7820121951219512,2025-12-22 22:24:41.787267,2025-12-22 22:29:32.079845,0 days 00:04:50.292578,4,0.2392573900175778,0.2201267015272242,1,6,0.1966844563973929,1,COMPLETE
7,7,0.7591463414634146,2025-12-22 22:29:32.080845,2025-12-22 22:33:17.178903,0 days 00:03:45.098058,2,0.42519364244856317,0.12241091689186767,1,3,0.3622617615360517,5,COMPLETE
8,8,0.7682926829268293,2025-12-22 22:33:17.179902,2025-12-22 22:39:57.106574,0 days 00:06:39.926672,2,0.23820042254185547,0.2820825393787715,1,8,0.28790293584106674,1,COMPLETE
9,9,0.7942073170731707,2025-12-22 22:39:57.107575,2025-12-22 22:46:32.051837,0 days 00:06:34.944262,4,0.47634047658385054,0.4996129738888564,1,8,0.263739040154102,1,COMPLETE
10,10,0.7835365853658537,2025-12-22 22:46:32.051837,2025-12-22 22:50:37.193176,0 days 00:04:05.141339,6,0.48490057684939225,0.3899430441387447,3,2,0.3068147222230275,5,COMPLETE
